	supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
0	78393736220313671	720575940638901875	112894	50448	2381	132696.0	24312.0	3037.0	4920033.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.736056849968131	right		fw002872	FBbt_00111443	
1	79517918274336185	720575940628587202	129152	24984	3303	129152.0	24984.0	3303.0	4373391.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7336487671854557	left		fw003174	FBbt_00111443	
2	80785380504762643	720575940636868186	147824	37008	4975	147824.0	37008.0	4975.0	5666915.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7500852339539218	right		fw003808	FBbt_00111443	
3	79588218232283818	720575940620202266	130400	23256	3085	130400.0	23256.0	3085.0	4369912.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7439427063942271	left		fw008959	FBbt_00111443	
4	79869830647946427	720575940635481262	134304	26048	3080	134304.0	26048.0	3080.0	4940070.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7297575826935403	right		fw008973	FBbt_00111443	
5	80362686869089972	720575940635430030	141952	29368	3915	141952.0	29368.0	3915.0	5629685.0	intrinsic	central	CX	columnar		PFL3	DM3_CX_d2	DPMpm2_CX_d2	DM3_CX_d2__0	acetylcholine	0.7801624977237781	right		fw028486	FBbt_00111443	
6	78604361819146659	720575940630728588	116616	42928	5411	116616.0	42928.0	5411.0	3672523.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7519956161089855	left		fw028555	FBbt_00111443	
7	80926392937816494	720575940619802800	150048	41528	5233	150048.0	41528.0	5233.0	6373092.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7520807368969341	right		fw028758	FBbt_00111443	
8	78885080814513681	720575940628457448	120032	31448	4898	120032.0	31448.0	4898.0	3589260.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7691962782511562	left		fw029421	FBbt_00111443	
9	79588287018414555	720575940619648116	130048	25080	3234	130048.0	25080.0	3234.0	4396339.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7342050887807119	left		fw029647	FBbt_00111443	
10	79659824061032177	720575940619006087	131867	42534	3895	132464.0	22688.0	2875.0	4919918.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7154288199904308	right		fw029653	FBbt_00111443	
11	79166212059649760	720575940624320318	124008	26400	3896	124008.0	26400.0	3896.0	4394698.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d1	DPMpm1_CX_d1	DM2_CX_d1__0	acetylcholine	0.7282064220550855	left		fw029966	FBbt_00111443	
12	80292111966333322	720575940631151663	140728	26920	3781	140728.0	26920.0	3781.0	5629353.0	intrinsic	central	CX	columnar		PFL3	DM3_CX_d1	DPMpm2_CX_d1	DM3_CX_d1__0	acetylcholine	0.7536620539975142	right		fw030168	FBbt_00111443	
13	79517986993999111	720575940630653604	129800	26096	3421	129800.0	26096.0	3421.0	4396270.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7546879644885026	left		fw030208	FBbt_00111443	
14	79166212059778693	720575940618759361	123848	27152	3983	123848.0	27152.0	3983.0	4394664.0	intrinsic	central	CX	columnar		PFL3	DM3_CX_d1	DPMpm2_CX_d1	DM3_CX_d1__0	acetylcholine	0.7483358251673827	left		fw030293	FBbt_00111443	
15	80010568203116382	720575940644706083	136608	26048	3335	136608.0	26048.0	3335.0	4943148.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.7300695586993168	right		fw030964	FBbt_00111443	
16	79166143340369336	720575940612936154	124272	26160	4029	124272.0	26160.0	4029.0	4394754.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1		acetylcholine	0.7409229474744194	left		fw031039	FBbt_00111443	
17	78674799283112846	720575940622727629	117304	44184	5645	117304.0	44184.0	5645.0	3672644.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.754685614775729	left		fw031407	FBbt_00111443	
18	80363923618583474	720575940625308162	141895	48023	2560	149952.0	43256.0	5380.0	6373028.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.7540290841143198	right		fw031454	FBbt_00111443	
19	79306949547734923	720575940623430621	126840	26400	3731	126840.0	26400.0	3731.0	4395202.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.7480837669553762	left		fw031494	FBbt_00111443	
20	78393667500768519	720575940612870952	113184	49780	2331	149312.0	42456.0	5245.0	6372670.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.7570222500042328	right		fw031873	FBbt_00111443	
21	78815674076098841	720575940622234326	118785	46052	4567	117768.0	41616.0	5571.0	3672923.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.733954078474858	left		fw031967	FBbt_00111443	
22	79940199459165601	720575940616654370	135840	25288	3492	135840.0	25288.0	3492.0	4942869.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d1	DPMpm1_CX_d1	DM2_CX_d1__0	acetylcholine	0.7583298554666392	right		fw032843	FBbt_00111443	
23	78323298756556641	720575940605640905	112543	48962	2290	131648.0	24216.0	2960.0	4919673.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7209582777300236	right		fw039358	FBbt_00111443	
